"0-3-1-1;  X1, X2, X3, X4, X7, X18"
"0-3-1-2;  X1, X2, X3, X7, X13, X16, X20"
"0-3-1-3;  X1, X2, X3, X6, X11, X14, X21"
"0-3-1-4;  X1, X2, X3, X4, X8, X10, X16, X17, X18, X24"
"0-3-1-5;  X1, X2, X3, X8, X11, X14, X20, X24, X26, X29"
"0-3-1-6;  X1, X2, X3, X5, X13, X15, X23, X29"
"0-3-1-7;  X1, X2, X3, X10, X24, X25, X27"
"0-3-1-8;  X1, X2, X3, X6, X23, X29"
"0-3-1-9;  X1, X2, X3, X7, X8, X10, X24, X27, X29, X30"
"0-3-1-10;  X1, X2, X3, X18, X23, X24"
"0-3-1-11;  X1, X2, X3, X9, X22, X26, X27"
"0-3-1-12;  X1, X2, X3, X5, X12, X13, X14, X29"
"0-3-1-13;  X1, X2, X3, X6, X7"
"0-3-1-14;  X1, X2, X3, X5, X9, X13, X16, X30"
"0-3-1-15;  X1, X2, X3, X15, X18, X22, X27"
"0-3-1-16;  X1, X2, X3, X5, X10, X17, X20, X25, X27, X28, X30"
"0-3-1-17;  X1, X2, X3, X5, X11, X20, X27, X29"
"0-3-1-18;  X1, X2, X3, X5, X17, X30"
"0-3-1-19;  X1, X2, X3, X5, X30"
"0-3-1-20;  X1, X2, X3, X7, X15, X17, X22, X23, X27"
"0-3-1-21;  X1, X2, X3, X6, X13, X16"
"0-3-1-22;  X1, X2, X3, X4, X25, X26, X27"
"0-3-1-23;  X1, X2, X3, X5, X7, X10, X14, X20, X22, X27, X29"
"0-3-1-24;  X1, X2, X3, X8, X11, X13, X14, X18, X24"
"0-3-1-25;  X1, X2, X3, X5, X7, X8, X10, X14, X15, X26, X27, X28"
"0-3-1-26;  X1, X2, X3, X7, X15, X17, X24, X30"
"0-3-1-27;  X1, X2, X3, X8, X12, X13, X16, X17, X24"
"0-3-1-28;  X1, X2, X3, X8, X13, X20, X24, X27"
"0-3-1-29;  X1, X2, X3, X22"
"0-3-1-30;  X1, X2, X3, X17"
"0-3-1-31;  X1, X2, X3, X11, X13, X15, X16, X17, X21, X28, X30"
"0-3-1-32;  X1, X2, X3, X8, X23, X28"
"0-3-1-33;  X1, X2, X3, X4, X6, X11, X17, X19, X22, X23, X28, X30"
"0-3-1-34;  X1, X2, X3, X17, X22, X26"
"0-3-1-35;  X1, X2, X3, X18, X26, X28"
"0-3-1-36;  X1, X2, X3, X4, X11, X29"
"0-3-1-37;  X1, X2, X3, X7, X9, X26"
"0-3-1-38;  X1, X2, X3, X8, X11, X13, X17, X21, X23"
"0-3-1-39;  X1, X2, X3, X9, X10, X16, X20"
"0-3-1-40;  X1, X2, X3, X6, X7, X14, X15"
"0-3-1-41;  X1, X2, X3, X4, X8, X13, X14, X17, X28"
"0-3-1-42;  X1, X2, X3, X17, X27"
"0-3-1-43;  X1, X2, X3, X6, X7, X9, X16, X26, X29, X30"
"0-3-1-44;  X1, X2, X3, X8, X11, X14, X15, X16, X18, X20, X24, X26"
"0-3-1-45;  X1, X2, X3, X9, X15, X17, X20"
"0-3-1-46;  X1, X2, X3, X5, X10, X16, X17"
"0-3-1-47;  X1, X2, X3, X5, X15"
"0-3-1-48;  X1, X2, X3, X18, X23"
"0-3-1-49;  X1, X2, X3, X5, X14, X25, X29"
"0-3-1-50;  X1, X2, X3, X4"
"0-3-1-51;  X1, X2, X3, X7, X15, X30"
"0-3-1-52;  X1, X2, X3, X4, X14, X18, X24"
"0-3-1-53;  X1, X2, X3, X4, X10, X11, X15, X22, X26"
"0-3-1-54;  X1, X2, X3, X9, X14, X19, X23, X25, X30"
"0-3-1-55;  X1, X2, X3"
"0-3-1-56;  X1, X2, X3, X4, X9, X14, X15, X21, X26, X29"
"0-3-1-57;  X1, X2, X3, X6, X10, X14, X18, X19, X20"
"0-3-1-58;  X1, X2, X3, X7, X10, X14, X16, X19, X26, X27"
