DS_name,Variables.Selected.by.glmnet,Structural_Variables,Variables.Not.Selected.by.glmnet,Nonstructural_Variables
0.75-15-1-1,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X13, X14, X15, X16, X17, X18, X22, X23, X24, X26, X28, X30","X1, X4, X5, X6, X7, X8, X10, X11, X14, X15, X16, X18, X23, X24, X28","X12, X19, X20, X21, X25, X27, X29","X2, X3, X9, X12, X13, X17, X19, X20, X21, X22, X25, X26, X27, X29, X30"
0.75-15-1-2,"X1, X2, X3, X4, X5, X6, X8, X9, X11, X12, X14, X15, X17, X18, X19, X21, X22, X24, X27, X28, X29, X30","X1, X2, X4, X5, X8, X11, X12, X14, X17, X19, X21, X24, X28, X29, X30","X7, X10, X13, X16, X20, X23, X25, X26","X3, X6, X7, X9, X10, X13, X15, X16, X18, X20, X22, X23, X25, X26, X27"
0.75-15-1-3,"X2, X3, X4, X5, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X17, X20, X21, X22, X28, X30","X2, X4, X7, X8, X9, X10, X11, X13, X14, X16, X17, X20, X21, X22, X28","X1, X6, X18, X19, X23, X24, X25, X26, X27, X29","X1, X3, X5, X6, X12, X15, X18, X19, X23, X24, X25, X26, X27, X29, X30"
0.75-15-1-4,"X1, X2, X3, X4, X6, X7, X8, X9, X10, X12, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X30","X2, X4, X6, X7, X8, X10, X12, X16, X19, X21, X22, X24, X25, X27, X28","X5, X11, X13, X14, X15, X29","X1, X3, X5, X9, X11, X13, X14, X15, X17, X18, X20, X23, X26, X29, X30"
0.75-15-1-5,"X3, X4, X5, X6, X7, X9, X11, X12, X13, X14, X15, X17, X18, X19, X23, X24, X26, X27, X28, X29, X30","X4, X5, X7, X11, X13, X14, X15, X17, X18, X19, X23, X26, X27, X29, X30","X1, X2, X8, X10, X16, X20, X21, X22, X25","X1, X2, X3, X6, X8, X9, X10, X12, X16, X20, X21, X22, X24, X25, X28"
0.75-15-1-6,"X2, X3, X4, X7, X9, X11, X12, X13, X14, X15, X17, X18, X19, X20, X21, X22, X23, X24, X26, X29, X30","X3, X4, X7, X9, X12, X14, X18, X19, X20, X21, X22, X23, X24, X29, X30","X1, X5, X6, X8, X10, X16, X25, X27, X28","X1, X2, X5, X6, X8, X10, X11, X13, X15, X16, X17, X25, X26, X27, X28"
0.75-15-1-7,"X1, X2, X3, X4, X6, X7, X9, X10, X11, X14, X15, X18, X20, X23, X24, X25, X26, X27, X29, X30","X1, X4, X6, X7, X11, X14, X15, X18, X20, X23, X25, X26, X27, X29, X30","X5, X8, X12, X13, X16, X17, X19, X21, X22, X28","X2, X3, X5, X8, X9, X10, X12, X13, X16, X17, X19, X21, X22, X24, X28"
0.75-15-1-8,"X5, X7, X8, X9, X10, X11, X12, X13, X14, X18, X20, X21, X22, X26, X27, X30","X5, X7, X8, X9, X10, X11, X13, X14, X18, X20, X21, X22, X26, X27, X30","X1, X2, X3, X4, X6, X15, X16, X17, X19, X23, X24, X25, X28, X29","X1, X2, X3, X4, X6, X12, X15, X16, X17, X19, X23, X24, X25, X28, X29"
0.75-15-1-9,"X1, X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X17, X20, X21, X23, X24, X25, X29, X30","X4, X6, X7, X8, X9, X12, X13, X14, X15, X16, X17, X21, X23, X24, X25","X2, X3, X18, X19, X22, X26, X27, X28","X1, X2, X3, X5, X10, X11, X18, X19, X20, X22, X26, X27, X28, X29, X30"
0.75-15-1-10,"X4, X7, X8, X9, X12, X14, X15, X16, X17, X18, X19, X21, X22, X23, X24, X25, X27, X28, X29, X30","X7, X8, X12, X14, X15, X16, X17, X19, X21, X23, X24, X27, X28, X29, X30","X1, X2, X3, X5, X6, X10, X11, X13, X20, X26","X1, X2, X3, X4, X5, X6, X9, X10, X11, X13, X18, X20, X22, X25, X26"
0.75-15-1-11,"X2, X3, X4, X8, X10, X11, X12, X13, X15, X17, X18, X19, X20, X21, X22, X24, X25, X27, X28, X29, X30","X3, X4, X8, X10, X11, X12, X15, X17, X18, X20, X21, X22, X25, X28, X29","X1, X5, X6, X7, X9, X14, X16, X23, X26","X1, X2, X5, X6, X7, X9, X13, X14, X16, X19, X23, X24, X26, X27, X30"
