"","out","good"
"1","0-3-1-1;  X1, X2, X3",TRUE
"2","0-3-1-2;  X1, X2, X3",TRUE
"3","0-3-1-3;  X1, X2, X3",TRUE
"4","0-3-1-4;  X1, X2, X3",TRUE
"5","0-3-1-5;  X1, X2, X3",TRUE
"6","0-3-1-6;  X1, X2, X3",TRUE
"7","0-3-1-7;  X1, X2, X3",TRUE
"8","0-3-1-8;  X1, X2, X3",TRUE
"9","0-3-1-9;  X1, X2, X3",TRUE
"10","0-3-1-10;  X1, X2, X3",TRUE
"11","0-3-1-11;  X1, X2, X3",TRUE
"12","0-3-1-12;  X2, X3",FALSE
"13","0-3-1-13;  X1, X2, X3",TRUE
"14","0-3-1-14;  X1, X2, X3",TRUE
"15","0-3-1-15;  X1, X2, X3",TRUE
"16","0-3-1-16;  X1, X2, X3",TRUE
"17","0-3-1-17;  X1, X2, X3",TRUE
"18","0-3-1-18;  X1, X2, X3",TRUE
"19","0-3-1-19;  X1, X2, X3",TRUE
"20","0-3-1-20;  X1, X2, X3",TRUE
"21","0-3-1-21;  X1, X2, X3",TRUE
"22","0-3-1-22;  X1, X2, X3",TRUE
"23","0-3-1-23;  X1, X2, X3",TRUE
"24","0-3-1-24;  X1, X2, X3",TRUE
"25","0-3-1-25;  X1, X2, X3",TRUE
"26","0-3-1-26;  X1, X2, X3",TRUE
"27","0-3-1-27;  X1, X2, X3",TRUE
"28","0-3-1-28;  X1, X2, X3",TRUE
"29","0-3-1-29;  X1, X2, X3",TRUE
"30","0-3-1-30;  X1, X2, X3",TRUE
"31","0-3-1-31;  X1, X2, X3",TRUE
"32","0-3-1-32;  X1, X2, X3",TRUE
"33","0-3-1-33;  X1, X2, X3",TRUE
"34","0-3-1-34;  X1, X2, X3",TRUE
"35","0-3-1-35;  X1, X2, X3",TRUE
"36","0-3-1-36;  X1, X2, X3",TRUE
"37","0-3-1-37;  X1, X2, X3",TRUE
"38","0-3-1-38;  X1, X2, X3",TRUE
"39","0-3-1-39;  X1, X2, X3",TRUE
"40","0-3-1-40;  X1, X2, X3",TRUE
"41","0-3-1-41;  X1, X2, X3",TRUE
"42","0-3-1-42;  X1, X2, X3",TRUE
"43","0-3-1-43;  X1, X2, X3",TRUE
"44","0-3-1-44;  X1, X2, X3",TRUE
"45","0-3-1-45;  X1, X2, X3",TRUE
"46","0-3-1-46;  X1, X2, X3",TRUE
"47","0-3-1-47;  X1, X2, X3",TRUE
"48","0-3-1-48;  X1, X2, X3",TRUE
"49","0-3-1-49;  X1, X2, X3",TRUE
"50","0-3-1-50;  X1, X2, X3",TRUE
"51","0-3-1-51;  X1, X2, X3",TRUE
"52","0-3-1-52;  X1, X2, X3",TRUE
"53","0-3-1-53;  X1, X2, X3",TRUE
"54","0-3-1-54;  X1, X2, X3",TRUE
"55","0-3-1-55;  X1, X2, X3",TRUE
"56","0-3-1-56;  X1, X2, X3",TRUE
"57","0-3-1-57;  X1, X2, X3",TRUE
"58","0-3-1-58;  X1, X2, X3",TRUE
"59","0-3-1-59;  X1, X2, X3",TRUE
"60","0-3-1-60;  X1, X2, X3",TRUE
"61","0-3-1-61;  X1, X2, X3",TRUE
"62","0-3-1-62;  X1, X2, X3",TRUE
"63","0-3-1-63;  X1, X2, X3",TRUE
"64","0-3-1-64;  X1, X2, X3",TRUE
"65","0-3-1-65;  X1, X2, X3",TRUE
"66","0-3-1-66;  X1, X2, X3",TRUE
"67","0-3-1-67;  X1, X2, X3",TRUE
"68","0-3-1-68;  X1, X2, X3",TRUE
"69","0-3-1-69;  X1, X2, X3",TRUE
"70","0-3-1-70;  X1, X2, X3",TRUE
"71","0-3-1-71;  X1, X2, X3",TRUE
"72","0-3-1-72;  X1, X2, X3",TRUE
"73","0-3-1-73;  X1, X2, X3",TRUE
"74","0-3-1-74;  X1, X2, X3",TRUE
"75","0-3-1-75;  X1, X2, X3",TRUE
"76","0-3-1-76;  X1, X2, X3",TRUE
"77","0-3-1-77;  X1, X2, X3",TRUE
"78","0-3-1-78;  X2, X3",FALSE
"79","0-3-1-79;  X1, X2, X3",TRUE
"80","0-3-1-80;  X1, X2, X3",TRUE
"81","0-3-1-81;  X1, X3",FALSE
"82","0-3-1-82;  X1, X2, X3",TRUE
"83","0-3-1-83;  X1, X2, X3",TRUE
"84","0-3-1-84;  X1, X2, X3",TRUE
"85","0-3-1-85;  X1, X2, X3",TRUE
"86","0-3-1-86;  X1, X2, X3",TRUE
"87","0-3-1-87;  X1, X2, X3",TRUE
"88","0-3-1-88;  X1, X2, X3",TRUE
"89","0-3-1-89;  X1, X2, X3",TRUE
"90","0-3-1-90;  X1, X2",FALSE
"91","0-3-1-91;  X1, X2, X3",TRUE
"92","0-3-1-92;  X1, X2, X3",TRUE
"93","0-3-1-93;  X1, X2, X3",TRUE
"94","0-3-1-94;  X1, X2, X3",TRUE
"95","0-3-1-95;  X1, X2, X3",TRUE
"96","0-3-1-96;  X1, X2, X3",TRUE
"97","0-3-1-97;  X1, X2, X3",TRUE
"98","0-3-1-98;  X1, X2, X3",TRUE
"99","0-3-1-99;  X1, X2, X3",TRUE
"100","0-3-1-100;  X1, X2, X3",TRUE
"101","0-3-1-101;  X1, X2, X3",TRUE
"102","0-3-1-102;  X1, X2, X3",TRUE
"103","0-3-1-103;  X1, X2, X3",TRUE
"104","0-3-1-104;  X1, X2, X3",TRUE
"105","0-3-1-105;  X1, X2, X3",TRUE
"106","0-3-1-106;  X1, X2, X3",TRUE
"107","0-3-1-107;  X1, X2, X3",TRUE
"108","0-3-1-108;  X1, X2, X3",TRUE
"109","0-3-1-109;  X1, X2, X3",TRUE
"110","0-3-1-110;  X1, X2, X3",TRUE
"111","0-3-1-111;  X1, X2, X3",TRUE
"112","0-3-1-112;  X1, X2, X3",TRUE
"113","0-3-1-113;  X1, X2, X3",TRUE
"114","0-3-1-114;  X1, X2, X3",TRUE
"115","0-3-1-115;  X1, X2, X3",TRUE
"116","0-3-1-116;  X1, X2, X3",TRUE
"117","0-3-1-117;  X1, X2, X3",TRUE
"118","0-3-1-118;  X1, X2, X3",TRUE
"119","0-3-1-119;  X1, X2, X3",TRUE
"120","0-3-1-120;  X1, X2, X3",TRUE
"121","0-3-1-121;  X1, X2, X3",TRUE
"122","0-3-1-122;  X1, X2, X3",TRUE
"123","0-3-1-123;  X1, X2, X3",TRUE
"124","0-3-1-124;  X1, X2, X3",TRUE
"125","0-3-1-125;  X1, X2, X3",TRUE
"126","0-3-1-126;  X1, X2, X3",TRUE
"127","0-3-1-127;  X1, X2, X3",TRUE
"128","0-3-1-128;  X1, X2, X3",TRUE
"129","0-3-1-129;  X1, X2, X3",TRUE
"130","0-3-1-130;  X1, X2, X3",TRUE
"131","0-3-1-131;  X1, X2, X3",TRUE
"132","0-3-1-132;  X1, X2, X3",TRUE
"133","0-3-1-133;  X1, X2, X3",TRUE
"134","0-3-1-134;  X1, X2, X3",TRUE
"135","0-3-1-135;  X1, X2, X3",TRUE
"136","0-3-1-136;  X1, X2, X3",TRUE
"137","0-3-1-137;  X2, X3",FALSE
"138","0-3-1-138;  X1, X2, X3",TRUE
"139","0-3-1-139;  X1, X2, X3",TRUE
"140","0-3-1-140;  X1, X2, X3",TRUE
"141","0-3-1-141;  X1, X2, X3",TRUE
"142","0-3-1-142;  X1, X2, X3",TRUE
"143","0-3-1-143;  X1, X2, X3",TRUE
"144","0-3-1-144;  X1, X2, X3",TRUE
"145","0-3-1-145;  X1, X3",FALSE
"146","0-3-1-146;  X1, X2, X3",TRUE
"147","0-3-1-147;  X1, X2, X3",TRUE
"148","0-3-1-148;  X1, X2, X3",TRUE
"149","0-3-1-149;  X1, X2, X3",TRUE
"150","0-3-1-150;  X1, X2, X3",TRUE
"151","0-3-1-151;  X1, X2, X3",TRUE
"152","0-3-1-152;  X1, X2, X3",TRUE
"153","0-3-1-153;  X1, X2, X3",TRUE
"154","0-3-1-154;  X1, X2, X3",TRUE
"155","0-3-1-155;  X1, X2, X3",TRUE
"156","0-3-1-156;  X1, X2, X3",TRUE
"157","0-3-1-157;  X1, X2, X3",TRUE
"158","0-3-1-158;  X1, X2, X3",TRUE
"159","0-3-1-159;  X2, X3",FALSE
"160","0-3-1-160;  X1, X2, X3",TRUE
"161","0-3-1-161;  X1, X2, X3",TRUE
"162","0-3-1-162;  X1, X2, X3",TRUE
"163","0-3-1-163;  X1, X2, X3",TRUE
"164","0-3-1-164;  X1, X2, X3",TRUE
"165","0-3-1-165;  X1, X2, X3",TRUE
"166","0-3-1-166;  X1, X2, X3",TRUE
"167","0-3-1-167;  X1, X2, X3",TRUE
"168","0-3-1-168;  X1, X2, X3",TRUE
"169","0-3-1-169;  X1, X2, X3",TRUE
"170","0-3-1-170;  X1, X2, X3",TRUE
"171","0-3-1-171;  X1, X2, X3",TRUE
"172","0-3-1-172;  X1, X3",FALSE
"173","0-3-1-173;  X1, X2, X3",TRUE
"174","0-3-1-174;  X1, X2, X3",TRUE
"175","0-3-1-175;  X1, X2, X3",TRUE
"176","0-3-1-176;  X1, X2, X3",TRUE
"177","0-3-1-177;  X1, X2, X3",TRUE
"178","0-3-1-178;  X2, X3",FALSE
"179","0-3-1-179;  X1, X2, X3",TRUE
"180","0-3-1-180;  X1, X2, X3",TRUE
"181","0-3-1-181;  X1, X2, X3",TRUE
"182","0-3-1-182;  X1, X2, X3",TRUE
"183","0-3-1-183;  X1, X2, X3",TRUE
"184","0-3-1-184;  X1, X2, X3",TRUE
"185","0-3-1-185;  X1, X2, X3",TRUE
"186","0-3-1-186;  X1, X2, X3",TRUE
"187","0-3-1-187;  X1, X2, X3",TRUE
"188","0-3-1-188;  X1, X2, X3",TRUE
"189","0-3-1-189;  X1, X2, X3",TRUE
"190","0-3-1-190;  X1, X2, X3",TRUE
"191","0-3-1-191;  X1, X2, X3",TRUE
"192","0-3-1-192;  X1, X2",FALSE
"193","0-3-1-193;  X1, X2, X3",TRUE
"194","0-3-1-194;  X1, X2, X3",TRUE
"195","0-3-1-195;  X2, X3",FALSE
"196","0-3-1-196;  X1, X2, X3",TRUE
"197","0-3-1-197;  X1, X2, X3",TRUE
"198","0-3-1-198;  X1, X2, X3",TRUE
"199","0-3-1-199;  X1, X2, X3",TRUE
"200","0-3-1-200;  X1, X3",FALSE
"201","0-3-1-201;  X1, X2, X3",TRUE
"202","0-3-1-202;  X1, X2, X3",TRUE
"203","0-3-1-203;  X1, X2, X3",TRUE
"204","0-3-1-204;  X1, X2, X3",TRUE
"205","0-3-1-205;  X1, X2, X3",TRUE
"206","0-3-1-206;  X1, X2, X3",TRUE
"207","0-3-1-207;  X1, X2, X3",TRUE
"208","0-3-1-208;  X1, X2, X3",TRUE
"209","0-3-1-209;  X1, X2, X3",TRUE
